Loot,Boss,Raid
Taut Dragonhide Shoulderpads,Chromaggus,Blackwing Lair
Archimtiro's Ring of Reckoning,Nefarian,Blackwing Lair
"Ashkandi, Greatsword of the Brotherhood",Nefarian,Blackwing Lair
Boots of the Shadow Flame,Nefarian,Blackwing Lair
Cloak of the Brood Lord,Nefarian,Blackwing Lair
"Crul'shorukh, Edge of Chaos",Nefarian,Blackwing Lair
Lok'amir il Romathis,Nefarian,Blackwing Lair
"Mish'undare, Circlet of the Mind Flayer",Nefarian,Blackwing Lair
Neltharion's Tear,Nefarian,Blackwing Lair
Prestor's Talisman of Connivery,Nefarian,Blackwing Lair
Pure Elementium Band,Nefarian,Blackwing Lair
Staff of the Shadow Flame,Nefarian,Blackwing Lair
Therazane's Link,Nefarian,Blackwing Lair
Head of Nefarian,Nefarian,Blackwing Lair
